timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1731602220000,213.00000000,213.26000000,212.83000000,213.22000000,4841.13700000,1731602279999,1031496.24953000,2986,2319.51700000,494102.55476000,0
1731602280000,213.23000000,213.30000000,213.14000000,213.21000000,2526.83200000,1731602339999,538775.57090000,1909,1078.38600000,229940.05998000,0
1731602340000,213.21000000,213.59000000,213.21000000,213.51000000,7607.37400000,1731602399999,1623449.47612000,1927,6013.52900000,1283258.45732000,0
1731602400000,213.51000000,214.15000000,213.25000000,214.15000000,14082.44200000,1731602459999,3011481.37829000,4066,11865.40300000,2537906.00353000,0
1731602460000,214.14000000,215.47000000,214.14000000,215.23000000,28054.82200000,1731602519999,6030899.33091000,10196,18632.84100000,4003960.57391000,0
1731602520000,215.23000000,215.60000000,214.94000000,215.06000000,9845.64300000,1731602579999,2120132.59879000,4676,6121.99300000,1318616.10168000,0
1731602580000,215.06000000,215.23000000,214.83000000,214.89000000,6531.53700000,1731602639999,1404285.24708000,2724,1421.04400000,305551.61602000,0
1731602640000,214.89000000,215.12000000,214.87000000,215.08000000,4571.52300000,1731602699999,982893.32619000,2429,2765.71400000,594632.38333000,0
1731602700000,215.07000000,215.14000000,214.77000000,214.82000000,7861.39100000,1731602759999,1689743.10248000,3748,2447.69600000,526138.42613000,0
1731602760000,214.82000000,214.82000000,214.35000000,214.55000000,11686.25400000,1731602819999,2507442.34136000,3721,3143.64800000,674607.29229000,0
1731602820000,214.56000000,215.00000000,214.55000000,214.95000000,5462.35200000,1731602879999,1173090.49871000,3812,3720.82300000,799144.43441000,0
1731602880000,214.94000000,215.90000000,214.88000000,215.88000000,10510.82700000,1731602939999,2264025.01992000,4805,7558.11600000,1628160.32302000,0
1731602940000,215.87000000,215.87000000,215.52000000,215.58000000,6057.25200000,1731602999999,1306274.42245000,2665,3233.69300000,697325.79199000,0
1731603000000,215.59000000,216.20000000,215.46000000,216.13000000,11122.12800000,1731603059999,2401049.22587000,4225,7788.11000000,1681344.88599000,0
1731603060000,216.13000000,216.44000000,216.08000000,216.26000000,12509.78100000,1731603119999,2705157.11967000,4225,7523.68300000,1626919.68878000,0
1731603120000,216.25000000,216.26000000,215.60000000,215.63000000,7297.37000000,1731603179999,1575986.70142000,2692,1967.48300000,424866.07152000,0
1731603180000,215.62000000,215.97000000,215.60000000,215.65000000,5738.96200000,1731603239999,1238073.97830000,3288,3666.38500000,790946.00340000,0
1731603240000,215.66000000,216.23000000,215.61000000,216.12000000,6769.94200000,1731603299999,1461151.80860000,4557,4313.66800000,930931.90236000,0
1731603300000,216.12000000,216.72000000,216.05000000,216.62000000,6449.37500000,1731603359999,1396098.11666000,4589,4515.52200000,977412.02958000,0
1731603360000,216.62000000,216.73000000,216.30000000,216.66000000,5286.86600000,1731603419999,1144660.91583000,2582,2806.60100000,607785.77882000,0
1731603420000,216.66000000,216.86000000,216.34000000,216.81000000,6972.64900000,1731603479999,1510785.13335000,2960,4483.87600000,971616.57198000,0
1731603480000,216.81000000,216.97000000,216.52000000,216.60000000,9932.72600000,1731603539999,2153113.60196000,2636,3421.02300000,741758.84422000,0
1731603540000,216.61000000,217.12000000,216.60000000,217.04000000,6337.77400000,1731603599999,1375270.21931000,3341,4310.76600000,935397.97628000,0
1731603600000,217.04000000,217.08000000,216.40000000,216.53000000,4844.63200000,1731603659999,1049870.31675000,3187,2284.67500000,495117.44945000,0
1731603660000,216.52000000,216.52000000,215.90000000,215.95000000,4566.94800000,1731603719999,986827.73581000,4007,1892.77700000,408959.25940000,0
1731603720000,215.96000000,216.14000000,215.68000000,215.74000000,20547.42000000,1731603779999,4437995.33928000,3000,12379.71700000,2673885.42830000,0
1731603780000,215.75000000,216.08000000,215.75000000,215.87000000,3194.03400000,1731603839999,689677.43702000,1897,1790.65100000,386653.99548000,0
1731603840000,215.88000000,216.13000000,215.82000000,216.13000000,12096.72400000,1731603899999,2611818.39557000,2133,2693.34900000,581620.42575000,0
1731603900000,216.13000000,216.27000000,215.92000000,216.00000000,2137.26700000,1731603959999,461848.43370000,3023,948.73100000,205009.52734000,0
1731603960000,216.00000000,216.21000000,215.81000000,215.90000000,3161.20000000,1731604019999,682758.46170000,4408,1023.34200000,220998.48421000,0
1731604020000,215.91000000,216.23000000,215.90000000,215.91000000,2871.74000000,1731604079999,620434.50116000,2999,1840.62400000,397688.00023000,0
1731604080000,215.91000000,216.08000000,215.73000000,215.88000000,2918.43600000,1731604139999,630105.37496000,2571,1683.36300000,363385.17085000,0
1731604140000,215.88000000,215.88000000,215.36000000,215.41000000,3189.70200000,1731604199999,687803.18471000,2177,819.96500000,176808.47263000,0
1731604200000,215.41000000,215.80000000,215.40000000,215.63000000,5049.85800000,1731604259999,1088815.99231000,2711,2838.24800000,611999.17692000,0
1731604260000,215.62000000,215.77000000,215.29000000,215.44000000,3904.09100000,1731604319999,841336.14944000,2129,797.50100000,171866.49799000,0
1731604320000,215.43000000,215.59000000,215.31000000,215.32000000,1942.36500000,1731604379999,418378.52277000,1544,994.51200000,214210.05008000,0
1731604380000,215.32000000,215.55000000,214.81000000,214.83000000,4387.78800000,1731604439999,943909.01672000,3529,764.42500000,164546.06726000,0
1731604440000,214.82000000,214.82000000,214.50000000,214.52000000,4100.27700000,1731604499999,880251.15756000,2671,1569.51300000,336910.56877000,0
1731604500000,214.53000000,215.04000000,214.53000000,215.01000000,3875.28600000,1731604559999,832567.03271000,2107,3258.62700000,700084.72344000,0
1731604560000,215.01000000,215.08000000,214.76000000,214.93000000,1863.44100000,1731604619999,400524.58128000,2855,896.15500000,192615.65108000,0
1731604620000,214.92000000,215.49000000,214.91000000,215.48000000,1943.24000000,1731604679999,418118.29470000,2149,1448.39200000,311647.02834000,0
1731604680000,215.47000000,215.47000000,215.20000000,215.28000000,1190.45000000,1731604739999,256348.43590000,2514,637.46500000,137271.10613000,0
1731604740000,215.27000000,215.39000000,215.19000000,215.25000000,2357.83100000,1731604799999,507625.05013000,1991,1112.04300000,239417.18016000,0
1731604800000,215.24000000,215.27000000,214.95000000,215.16000000,1472.48000000,1731604859999,316748.64819000,3093,766.84500000,164953.80164000,0
1731604860000,215.16000000,215.40000000,214.99000000,215.13000000,1733.91200000,1731604919999,373095.64865000,3606,901.74500000,194052.47809000,0
1731604920000,215.13000000,215.44000000,215.13000000,215.26000000,1461.09200000,1731604979999,314497.98243000,2751,833.53700000,179435.89885000,0
1731604980000,215.25000000,215.31000000,215.06000000,215.23000000,894.30500000,1731605039999,192476.12169000,1523,611.66200000,131641.55216000,0
